timestamp,actual_number,predicted_number,profit_change,is_win,bets,engine_used,top1_hit,top1_graded_live,mode
2026-06-28T01:10:43.407645,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.6452008230452675, ""ev_per_token"": 0.290401646090535, ""is_positive_ev"": false, ""support"": 6}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.149838683127572, ""ev_per_token"": -0.550483950617284, ""is_positive_ev"": false, ""support"": 6}, {""number"": 8, ""token_bet"": 0, ""confidence"": 0.11276831275720164, ""ev_per_token"": 0.014914814814814825, ""is_positive_ev"": false, ""support"": 6}]",Markov,True,True,
2026-06-28T01:11:35.788403,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.673982638888889, ""ev_per_token"": 0.34796527777777797, ""is_positive_ev"": false, ""support"": 7}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.1379652777777778, ""ev_per_token"": -0.5861041666666665, ""is_positive_ev"": false, ""support"": 7}, {""number"": 8, ""token_bet"": 0, ""confidence"": 0.1035590277777778, ""ev_per_token"": -0.0679687499999998, ""is_positive_ev"": false, ""support"": 7}]",Markov,True,True,
2026-06-28T01:12:27.445063,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.673982638888889, ""ev_per_token"": 0.34796527777777797, ""is_positive_ev"": false, ""support"": 7}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.1379652777777778, ""ev_per_token"": -0.5861041666666665, ""is_positive_ev"": false, ""support"": 7}, {""number"": 8, ""token_bet"": 0, ""confidence"": 0.1035590277777778, ""ev_per_token"": -0.0679687499999998, ""is_positive_ev"": false, ""support"": 7}]",Markov,False,True,
2026-06-28T01:13:19.322369,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.528603648424544, ""ev_per_token"": -0.13432835820895528, ""is_positive_ev"": false, ""support"": 13}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.1925804311774461, ""ev_per_token"": -0.32835820895522383, ""is_positive_ev"": false, ""support"": 13}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.10167993366500828, ""ev_per_token"": -0.28358208955223885, ""is_positive_ev"": false, ""support"": 13}]",AI-Optimal,False,True,
2026-06-28T01:14:05.780333,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.5081099071207431, ""ev_per_token"": -0.1470588235294118, ""is_positive_ev"": false, ""support"": 14}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.19024922600619196, ""ev_per_token"": -0.3382352941176471, ""is_positive_ev"": false, ""support"": 14}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.12523374613003097, ""ev_per_token"": -0.2058823529411764, ""is_positive_ev"": false, ""support"": 14}]",AI-Optimal,False,True,
2026-06-28T01:14:56.427134,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.4916166666666667, ""ev_per_token"": -0.016766666666666596, ""is_positive_ev"": false, ""support"": 2}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.23335833333333336, ""ev_per_token"": 0.4001500000000002, ""is_positive_ev"": false, ""support"": 2}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.14585833333333334, ""ev_per_token"": -0.562425, ""is_positive_ev"": false, ""support"": 2}]",Markov,True,True,
2026-06-28T01:15:44.318470,40,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.6181181657848325, ""ev_per_token"": 0.23623633156966495, ""is_positive_ev"": false, ""support"": 9}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.20857760141093473, ""ev_per_token"": -0.3742671957671958, ""is_positive_ev"": false, ""support"": 9}, {""number"": 8, ""token_bet"": 0, ""confidence"": 0.08950617283950617, ""ev_per_token"": -0.19444444444444453, ""is_positive_ev"": false, ""support"": 9}]",Markov,False,True,
2026-06-28T01:16:34.025449,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.45108504801097393, ""ev_per_token"": -0.09782990397805214, ""is_positive_ev"": false, ""support"": 0}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2169108367626886, ""ev_per_token"": -0.3492674897119342, ""is_positive_ev"": false, ""support"": 0}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.12517421124828532, ""ev_per_token"": -0.2489547325102881, ""is_positive_ev"": false, ""support"": 0}]",Markov,False,True,
2026-06-28T01:17:11.668339,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.4704285714285714, ""ev_per_token"": -0.16666666666666663, ""is_positive_ev"": false, ""support"": 18}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.20360714285714282, ""ev_per_token"": -0.33333333333333337, ""is_positive_ev"": false, ""support"": 18}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1425357142857143, ""ev_per_token"": -0.16666666666666663, ""is_positive_ev"": false, ""support"": 18}]",AI-Optimal,False,True,
2026-06-28T01:17:14.494884,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.4704285714285714, ""ev_per_token"": -0.16666666666666663, ""is_positive_ev"": false, ""support"": 18}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.20360714285714282, ""ev_per_token"": -0.33333333333333337, ""is_positive_ev"": false, ""support"": 18}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1425357142857143, ""ev_per_token"": -0.16666666666666663, ""is_positive_ev"": false, ""support"": 18}]",AI-Optimal,False,True,
2026-06-28T01:18:00.546082,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.446736936936937, ""ev_per_token"": -0.18918918918918914, ""is_positive_ev"": false, ""support"": 20}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2171864864864865, ""ev_per_token"": -0.31081081081081074, ""is_positive_ev"": false, ""support"": 20}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1565990990990991, ""ev_per_token"": -0.10810810810810811, ""is_positive_ev"": false, ""support"": 20}]",AI-Optimal,False,True,
2026-06-28T01:18:51.066643,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.43625806451612903, ""ev_per_token"": -0.19999999999999996, ""is_positive_ev"": false, ""support"": 21}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.21351612903225808, ""ev_per_token"": -0.32000000000000006, ""is_positive_ev"": false, ""support"": 21}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1726451612903226, ""ev_per_token"": -0.040000000000000036, ""is_positive_ev"": false, ""support"": 21}]",AI-Optimal,False,True,
2026-06-28T01:19:35.354899,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.4264753289473684, ""ev_per_token"": -0.21052631578947367, ""is_positive_ev"": false, ""support"": 22}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.22889144736842104, ""ev_per_token"": -0.2894736842105263, ""is_positive_ev"": false, ""support"": 22}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.16886513157894736, ""ev_per_token"": -0.052631578947368474, ""is_positive_ev"": false, ""support"": 22}]",AI-Optimal,False,True,
2026-06-28T01:20:27.344242,15,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.4173951200314837, ""ev_per_token"": -0.22077922077922074, ""is_positive_ev"": false, ""support"": 23}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.24328256591892958, ""ev_per_token"": -0.2597402597402597, ""is_positive_ev"": false, ""support"": 23}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.16534592680047228, ""ev_per_token"": -0.06493506493506496, ""is_positive_ev"": false, ""support"": 23}]",AI-Optimal,False,True,
2026-06-28T01:21:14.661509,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3901472148541114, ""ev_per_token"": -0.23076923076923073, ""is_positive_ev"": false, ""support"": 24}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.24469496021220158, ""ev_per_token"": -0.2692307692307693, ""is_positive_ev"": false, ""support"": 24}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.16323474801061008, ""ev_per_token"": -0.07692307692307687, ""is_positive_ev"": false, ""support"": 24}]",AI-Optimal,False,True,
2026-06-28T01:21:58.505391,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.383589029535865, ""ev_per_token"": -0.240506329113924, ""is_positive_ev"": false, ""support"": 25}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.25680379746835447, ""ev_per_token"": -0.240506329113924, ""is_positive_ev"": false, ""support"": 25}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.16014894514767933, ""ev_per_token"": -0.08860759493670889, ""is_positive_ev"": false, ""support"": 25}]",AI-Optimal,True,True,
2026-06-28T01:22:50.656479,10,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.39306451612903226, ""ev_per_token"": -0.22499999999999998, ""is_positive_ev"": false, ""support"": 26}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2525967741935484, ""ev_per_token"": -0.25, ""is_positive_ev"": false, ""support"": 26}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.15724193548387094, ""ev_per_token"": -0.10000000000000009, ""is_positive_ev"": false, ""support"": 26}]",AI-Optimal,False,True,
2026-06-28T01:23:33.448861,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3868072916666666, ""ev_per_token"": -0.23456790123456794, ""is_positive_ev"": false, ""support"": 27}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2486145833333333, ""ev_per_token"": -0.2592592592592593, ""is_positive_ev"": false, ""support"": 27}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1545, ""ev_per_token"": -0.11111111111111116, ""is_positive_ev"": false, ""support"": 27}]",AI-Optimal,False,True,
2026-06-28T01:24:27.962002,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.40889730639730637, ""ev_per_token"": -0.18220538720538726, ""is_positive_ev"": false, ""support"": 7}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.2304360269360269, ""ev_per_token"": 0.3826161616161614, ""is_positive_ev"": false, ""support"": 7}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.1885976430976431, ""ev_per_token"": -0.43420707070707065, ""is_positive_ev"": false, ""support"": 7}]",Markov,False,True,
2026-06-28T01:24:36.677731,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.40889730639730637, ""ev_per_token"": -0.18220538720538726, ""is_positive_ev"": false, ""support"": 7}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.2304360269360269, ""ev_per_token"": 0.3826161616161614, ""is_positive_ev"": false, ""support"": 7}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.1885976430976431, ""ev_per_token"": -0.43420707070707065, ""is_positive_ev"": false, ""support"": 7}]",Markov,False,True,
2026-06-28T01:25:12.376039,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.347836507936508, ""ev_per_token"": -0.304326984126984, ""is_positive_ev"": false, ""support"": 9}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.31020158730158737, ""ev_per_token"": -0.06939523809523784, ""is_positive_ev"": false, ""support"": 9}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.19526349206349208, ""ev_per_token"": 0.1715809523809524, ""is_positive_ev"": false, ""support"": 9}]",Markov,False,True,
2026-06-28T01:26:12.054323,15,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.36380228758169936, ""ev_per_token"": -0.2705882352941177, ""is_positive_ev"": false, ""support"": 31}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.29156781045751634, ""ev_per_token"": -0.15294117647058825, ""is_positive_ev"": false, ""support"": 31}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14417973856209151, ""ev_per_token"": -0.15294117647058825, ""is_positive_ev"": false, ""support"": 31}]",AI-Optimal,False,True,
2026-06-28T01:26:51.806874,8,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3584157762413577, ""ev_per_token"": -0.2790697674418605, ""is_positive_ev"": false, ""support"": 32}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.28800628535512257, ""ev_per_token"": -0.16279069767441867, ""is_positive_ev"": false, ""support"": 32}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14188152105593965, ""ev_per_token"": -0.16279069767441867, ""is_positive_ev"": false, ""support"": 32}]",AI-Optimal,False,True,
2026-06-28T01:27:38.350754,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3536742286751361, ""ev_per_token"": -0.28735632183908044, ""is_positive_ev"": false, ""support"": 33}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.28378811252268604, ""ev_per_token"": -0.1724137931034483, ""is_positive_ev"": false, ""support"": 33}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.13988747731397458, ""ev_per_token"": -0.1724137931034483, ""is_positive_ev"": false, ""support"": 33}]",AI-Optimal,True,True,
2026-06-28T01:28:32.158462,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3622983682983683, ""ev_per_token"": -0.2727272727272727, ""is_positive_ev"": false, ""support"": 34}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.27974941724941726, ""ev_per_token"": -0.18181818181818188, ""is_positive_ev"": false, ""support"": 34}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.13797086247086246, ""ev_per_token"": -0.18181818181818188, ""is_positive_ev"": false, ""support"": 34}]",AI-Optimal,False,True,
2026-06-28T01:29:18.516090,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3576567415730337, ""ev_per_token"": -0.2808988764044944, ""is_positive_ev"": false, ""support"": 35}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2888240168539326, ""ev_per_token"": -0.1573033707865168, ""is_positive_ev"": false, ""support"": 35}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.13612752808988765, ""ev_per_token"": -0.1910112359550562, ""is_positive_ev"": false, ""support"": 35}]",AI-Optimal,False,True,
2026-06-28T01:30:13.993003,1,,0,False,"[{""number"": 2, ""token_bet"": 0, ""confidence"": 0.40865562643655917, ""ev_per_token"": 0.22596687930967763, ""is_positive_ev"": false, ""support"": 36}, {""number"": 40, ""token_bet"": 0, ""confidence"": 0.06393122749212311, ""ev_per_token"": 1.6211803271770475, ""is_positive_ev"": false, ""support"": 36}, {""number"": 30, ""token_bet"": 0, ""confidence"": 0.0462565425692535, ""ev_per_token"": 0.4339528196468585, ""is_positive_ev"": false, ""support"": 36}]",TF-LSTM,False,True,
2026-06-28T01:30:53.331554,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.36107339089481943, ""ev_per_token"": -0.27472527472527475, ""is_positive_ev"": false, ""support"": 37}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2807936944008373, ""ev_per_token"": -0.17582417582417575, ""is_positive_ev"": false, ""support"": 37}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14520748299319727, ""ev_per_token"": -0.1428571428571429, ""is_positive_ev"": false, ""support"": 37}]",AI-Optimal,False,True,
2026-06-28T01:31:46.496132,8,,0,False,"[{""number"": 2, ""token_bet"": 0, ""confidence"": 0.4024778926213034, ""ev_per_token"": 0.20743367786391032, ""is_positive_ev"": false, ""support"": 6}, {""number"": 1, ""token_bet"": 0, ""confidence"": 0.34518145277060003, ""ev_per_token"": -0.30963709445879994, ""is_positive_ev"": false, ""support"": 6}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1575511053689348, ""ev_per_token"": -0.05469336778639122, ""is_positive_ev"": false, ""support"": 6}]",Markov,False,True,
2026-06-28T01:32:28.508092,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.41215151515151516, ""ev_per_token"": -0.17569696969696968, ""is_positive_ev"": false, ""support"": 2}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.266439393939394, ""ev_per_token"": 0.5986363636363639, ""is_positive_ev"": false, ""support"": 2}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.1633598484848485, ""ev_per_token"": -0.5099204545454545, ""is_positive_ev"": false, ""support"": 2}]",Markov,True,True,
2026-06-28T01:33:16.581596,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.36022411347517735, ""ev_per_token"": -0.276595744680851, ""is_positive_ev"": false, ""support"": 40}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.27018439716312054, ""ev_per_token"": -0.2021276595744681, ""is_positive_ev"": false, ""support"": 40}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1517210401891253, ""ev_per_token"": -0.1063829787234043, ""is_positive_ev"": false, ""support"": 40}]",AI-Optimal,False,True,
2026-06-28T01:34:05.783528,2,,0,False,"[{""number"": 15, ""token_bet"": 0, ""confidence"": 0.13079066022544286, ""ev_per_token"": 1.0926505636070858, ""is_positive_ev"": false, ""support"": 12}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.21986876006441225, ""ev_per_token"": 0.3192125603864735, ""is_positive_ev"": false, ""support"": 12}]",Markov,False,True,
2026-06-28T01:34:49.208532,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3519787234042553, ""ev_per_token"": -0.29166666666666663, ""is_positive_ev"": false, ""support"": 42}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2868191489361702, ""ev_per_token"": -0.15625, ""is_positive_ev"": false, ""support"": 42}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14804255319148937, ""ev_per_token"": -0.125, ""is_positive_ev"": false, ""support"": 42}]",AI-Optimal,False,True,
2026-06-28T01:35:39.044907,2,,0,False,"[{""number"": 15, ""token_bet"": 0, ""confidence"": 0.11616394335511986, ""ev_per_token"": 0.8586230936819177, ""is_positive_ev"": false, ""support"": 14}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.39043266612200445, ""ev_per_token"": 0.17129799836601345, ""is_positive_ev"": false, ""support"": 14}]",Markov,False,True,
2026-06-28T01:36:29.445367,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.34418992086630573, ""ev_per_token"": -0.30612244897959184, ""is_positive_ev"": false, ""support"": 44}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.3025389421074552, ""ev_per_token"": -0.11224489795918369, ""is_positive_ev"": false, ""support"": 44}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14458600583090378, ""ev_per_token"": -0.1428571428571429, ""is_positive_ev"": false, ""support"": 44}]",AI-Optimal,True,True,
2026-06-28T01:37:17.834371,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3515418181818182, ""ev_per_token"": -0.29292929292929293, ""is_positive_ev"": false, ""support"": 45}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.29899636363636367, ""ev_per_token"": -0.12121212121212122, ""is_positive_ev"": false, ""support"": 45}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14293272727272727, ""ev_per_token"": -0.1515151515151516, ""is_positive_ev"": false, ""support"": 45}]",AI-Optimal,False,True,
2026-06-28T01:38:07.281994,5,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3477549019607843, ""ev_per_token"": -0.30000000000000004, ""is_positive_ev"": false, ""support"": 46}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.3065, ""ev_per_token"": -0.10000000000000009, ""is_positive_ev"": false, ""support"": 46}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1413235294117647, ""ev_per_token"": -0.15999999999999992, ""is_positive_ev"": false, ""support"": 46}]",AI-Optimal,False,True,
2026-06-28T01:38:50.603177,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.34406016755521707, ""ev_per_token"": -0.306930693069307, ""is_positive_ev"": false, ""support"": 47}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.30300761614622995, ""ev_per_token"": -0.10891089108910901, ""is_positive_ev"": false, ""support"": 47}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.1505615003808073, ""ev_per_token"": -0.10891089108910901, ""is_positive_ev"": false, ""support"": 47}]",AI-Optimal,True,True,
2026-06-28T01:39:38.481310,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3511165371809101, ""ev_per_token"": -0.2941176470588235, ""is_positive_ev"": false, ""support"": 48}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2996159822419534, ""ev_per_token"": -0.11764705882352944, ""is_positive_ev"": false, ""support"": 48}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14890233074361822, ""ev_per_token"": -0.11764705882352944, ""is_positive_ev"": false, ""support"": 48}]",AI-Optimal,True,True,
2026-06-28T01:40:25.751376,1,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.3579896619920892, ""ev_per_token"": -0.2815533980582524, ""is_positive_ev"": false, ""support"": 49}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.2963211974110032, ""ev_per_token"": -0.12621359223300976, ""is_positive_ev"": false, ""support"": 49}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14728559870550162, ""ev_per_token"": -0.12621359223300976, ""is_positive_ev"": false, ""support"": 49}]",AI-Optimal,True,True,
2026-06-28T01:41:15.033739,2,,0,False,"[{""number"": 1, ""token_bet"": 0, ""confidence"": 0.36489510489510485, ""ev_per_token"": -0.2692307692307693, ""is_positive_ev"": false, ""support"": 50}, {""number"": 2, ""token_bet"": 0, ""confidence"": 0.29314685314685307, ""ev_per_token"": -0.1346153846153847, ""is_positive_ev"": false, ""support"": 50}, {""number"": 5, ""token_bet"": 0, ""confidence"": 0.14566433566433565, ""ev_per_token"": -0.1346153846153847, ""is_positive_ev"": false, ""support"": 50}]",AI-Optimal,False,True,
